Country,Score
Finland,7.769
Denmark,7.600
Norway,7.554
Iceland,7.494
Netherlands,7.488
Switzerland,7.480
Sweden,7.343
Austria,7.246
Luxembourg,7.090
United Kingdom,7.054
Ireland,7.021
Germany,6.985
Belgium,6.923
Czech Republic,6.852
Malta,6.726
France,6.592
Spain,6.354
Italy,6.223
Slovakia,6.198
Poland,6.182
Lithuania,6.149
Slovenia,6.118
Kosovo,6.100
Romania,6.070
Cyprus,6.046
Latvia,5.940
Estonia,5.893
Kazakhstan,5.809
Hungary,5.758
Portugal,5.693
Russia,5.648
Serbia,5.603
Moldova,5.529
Montenegro,5.523
Croatia,5.432
Bosnia,5.386
Turkey,5.373
Belarus,5.323
Greece,5.287
North Macedonia,5.274
Azerbaijan,5.208
Bulgaria,5.011
Albania,4.719
Armenia,4.559
Georgia,4.519
Ukraine,4.332
